year,num_birth,sex_ratio
1973,965521,104.6
1974,922823,109.4
1975,874030,112.4
1976,796331,110.7
1977,825339,104.2
1978,750728,111.3
1979,862669,106.4
1980,862835,105.3
1981,867409,107.1
1982,848312,106.8
1983,769155,107.3
1984,674793,108.3
1985,655489,109.4
1986,636019,111.7
1987,623831,108.8
1988,633092,113.2
1989,639431,111.8
1990,649738,116.5
1991,709275,112.4
1992,730678,113.6
1993,715826,115.3
1994,721185,115.2
1995,715020,113.2
1996,691226,111.5
1997,675394,108.2
1998,641594,110.1
1999,620668,109.5
2000,640089,110.1
2001,559934,109
2002,496911,109.9
2003,495036,108.6
2004,476958,108.2
2005,438707,107.8
2006,451759,107.6
2007,496822,106.2
2008,465892,106.4
2009,444849,106.4
2010,470171,106.9
2011,471265,105.7
2012,484550,105.7
2013,436455,105.3
2014,435435,105.3
2015,438420,105.3
2016,406243,105
2017,357771,106.3
2018,326822,105.4
2019,302676,105.5
2020,272400,104.9
